学校	所在学院	URL
中山大学南方学院	文学与传媒学院	http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
暨南大学	新闻与传播学院	https://xwxy.jnu.edu.cn/html/bks/zhuanyejianjie/2015/0923/293.html
广州大学	新闻与传播学院	http://xw.gzhu.edu.cn/info/1116/5875.htm
上海外国语大学	新闻学院	http://www.sjc.shisu.edu.cn/_t2/wlyxmt/list.htm
重庆师范大学	新闻与传媒学院	http://xcy.cqnu.edu.cn/
广东外语外贸大学	新闻与传播学院	http://xwxy.gdufs.edu.cn/info/1043/3773.htm
南昌理工学院	传媒学院	http://cmxy.nut.edu.cn/index.php/cms/item-view-id-747.shtml
西安外国语大学	新闻与传播学院	http://xwxy.xisu.edu.cn/info/1022/3323.htm
西安交通大学	人文社会科学学院	http://zs.xjtu.edu.cn/yxsd/rwshkxxy/wlyxmt.htm
浙江万里学院	文化与传播学院	http://wcxy.zwu.edu.cn/83/91/c973a99217/page.htm
济宁学院	中文系	http://zw.jnxy.edu.cn/xkzl.htm
云南大学	文学与传媒学院	http://www.ynu.edu.cn/ssjgyy.jsp?wbtreeid=1001
武昌首义学院	新闻与法学学院	http://xwfx.wsyu.edu.cn/jyjh/hkjs/21253.htm
广东财经大学华商学院	文学系	http://wxx.gdhsc.edu.cn/info/2013/1995.htm
皖西学院	文化与传媒学院	http://ccc.wxc.edu.cn/2014/0826/c592a21807/page.htm
四川民族学院	文学院	http://wxy.scun.edu.cn/info/1043/1224.htm
